"Type","Title/Subject","Content","CTA","Channel","Status"
"LinkedIn Post","Post 1: Facilities managers don't ignore cold emails. They","Facilities managers don't ignore cold emails. They ignore lazy ones.

I've reviewed hundreds of cold outreach messages sent by commercial cleaning companies.

The ones that get deleted in 3 seconds all look the same:

→ ""We offer professional cleaning services at competitive rates.""
→ ""Our team is reliable and trustworthy.""
→ ""We'd love to discuss your cleaning needs.""

These aren't pitches. They're noise.

Here's what a facilities manager is actually thinking when your email lands:

""Does this company understand what I'm responsible for?""
""Have they worked in buildings like mine?""
""Will they make my life easier or harder?""

Generic answers none of those questions.

A facilities manager overseeing a 40,000 sq ft office complex doesn't want to know you clean buildings.

They want to know you understand daily foot traffic, contractor sign-in procedures, after-hours access, and what happens when a cleaner doesn't show up.

That specificity is what gets a reply.
That specificity is what gets you on a shortlist.
That specificity is what wins the contract.

If your cold emails aren't getting replies, the problem isn't the market — it's the message. Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","If your cold emails aren't getting replies, the problem isn't the market — it's the message. Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","LinkedIn","Generated"
"LinkedIn Post","Post 2: 6 reasons your cold emails to facilities managers ","6 reasons your cold emails to facilities managers aren't converting (and what to fix):

1. You opened with ""I"" instead of them
Every email starting with ""I am writing to introduce..."" loses before it starts. Open with a reference to their building, sector, or a problem they recognise.

2. You sent one email and gave up
Facilities managers manage dozens of supplier relationships. One email is not a sequence. A 3-touch sequence — spaced 4–6 days apart — dramatically increases reply rates.

3. You didn't mention their industry
A school bursar and an office facilities manager have completely different concerns. Compliance, infection control, term-time schedules, DBS requirements. If your email could apply to anyone, it applies to no one.

4. You listed services instead of outcomes
""We offer daily cleaning, washroom services, and waste removal"" tells them nothing useful. ""We help education facilities maintain cleaning compliance between inspections"" tells them exactly what matters.

5. You asked for too much too soon
Asking for a meeting in the first email is like proposing on a first introduction. Ask for a 10-minute call or whether they have a contract review coming up.

6. You sent it from a Gmail address
A Gmail or Hotmail address signals you're a sole trader operating informally. Set up a branded domain email. It costs under £10/year and instantly increases credibility.

Want a cold email sequence built specifically for targeting facilities managers in your local area? Book a free strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Want a cold email sequence built specifically for targeting facilities managers in your local area? Book a free strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","LinkedIn","Generated"
"LinkedIn Post","Post 3: She sent 47 cold emails last month. Got 1 reply — ","She sent 47 cold emails last month. Got 1 reply — and it was ""unsubscribe.""

Sarah runs a commercial cleaning company in the East Midlands.

She covers offices, schools, and light industrial sites. Her work is solid. Her retention rate is excellent. Her problem is the pipeline.

So she did what most cleaning company owners do when they decide to get proactive.

She built a list of local businesses. Found email addresses on Google. Wrote a template about her services. Sent it to 47 contacts over two weeks.

47 emails. 1 reply. 0 calls booked.

When I looked at her outreach, the issue was clear.

Every email was identical. Same subject line. Same body. Sent to a school headteacher, an office manager, and a warehouse operations lead — as if they all had the same pressures and priorities.

None of the emails mentioned the recipient's sector.
None referenced building size or likely cleaning frequency.
There was no follow-up sequence.
The call to action was ""please get in touch if interested.""

The facilities managers who received those emails didn't think Sarah was bad at her job.

They just didn't think she was relevant to them.

Two months later, after rebuilding her sequences with sector-specific messaging and a 3-email follow-up cadence, her reply rate was sitting at 11%.

Same market. Same services. Different message.

If your outreach looks like Sarah's first batch, let's fix it. Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","If your outreach looks like Sarah's first batch, let's fix it. Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","LinkedIn","Generated"
"LinkedIn Post","Post 4: Stop asking for referrals. Start building a contra","Stop asking for referrals. Start building a contract pipeline you control.

Referrals are great — when they come.

But building a commercial cleaning business on referrals is like building a house on sand.

You have no control over when they arrive.
You have no control over the quality of the lead.
You have no idea what next quarter looks like.

The cleaning companies I see scaling past £500k in recurring contract revenue aren't waiting for referrals.

They're running structured cold outreach to facilities managers in their target sectors.

Here's the uncomfortable truth most agencies won't tell you:

Cold email — done properly — outperforms referrals for new commercial contract acquisition.

Not because referrals are bad.
But because cold email is:

→ Predictable — you control the volume
→ Targeted — you choose the sectors, building types, and contract sizes
→ Scalable — more outreach equals more pipeline, month after month

A well-built 3-email sequence targeting healthcare facilities managers in your local area will consistently generate quote requests.

A referral might arrive in 6 months. Or it might not.

The cleaning companies that win the most contracts aren't the ones with the best reputation alone.

They're the ones who show up — in the inbox, at the right time, with the right message.

Ready to stop waiting and start winning contracts predictably? Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Ready to stop waiting and start winning contracts predictably? Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","LinkedIn","Generated"
"LinkedIn Post","Post 5: How to write a cold email sequence that gets facil","How to write a cold email sequence that gets facilities managers to reply (3-email framework):

Most cleaning companies send one email and call it outreach.

Here's a 3-email sequence that consistently generates replies from facilities managers in offices, healthcare, and education:

---

EMAIL 1 — The Relevant Introduction (Day 1)

Subject: Cleaning cover for [Building Type] in [Location]

Open by referencing something specific to their sector — not your business.

Example for healthcare: ""Facilities managers in healthcare settings are increasingly being asked to evidence cleaning schedules for CQC compliance. We work with several NHS-adjacent sites in [region] to make that documentation straightforward.""

Then: one sentence on what you do, one sentence on a relevant result, and a soft CTA — asking if they have a contract review scheduled in the next quarter.

---

EMAIL 2 — The Follow-Up With Value (Day 5)

Don't just say ""following up on my last email.""

Add something useful. A checklist. A question about their current cleaning frequency. A reference to a compliance requirement relevant to their sector.

Show you understand their world without a contract yet.

---

EMAIL 3 — The Honest Close (Day 10)

Keep it short. Acknowledge it may not be the right time. Give them an easy out — and an easy yes.

""If your current contract is working well, no action needed. If a review is coming up and you'd like an alternative quote, a 10-minute call is all it takes.""

---

This sequence works because it's specific, it's patient, and it respects their time.

Want this sequence written and ready for your target sectors? Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Want this sequence written and ready for your target sectors? Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","LinkedIn","Generated"
"Blog Article","Cold Email for Commercial Cleaning: How to Win Facilities Managers With a 3-Email Sequence","# Cold Email for Commercial Cleaning: How to Win Facilities Managers With a 3-Email Sequence

Most cold emails sent by commercial cleaning companies get deleted in under three seconds. Not because facilities managers aren't looking for reliable contractors — they often are — but because the emails they receive all sound identical. ""We offer professional cleaning services at competitive rates. Please find our brochure attached."" That pitch lands in the bin every time.

Facilities managers respons...","Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Blog","Generated"
"Email Newsletter","Why your cold emails get ignored","Most cold emails cleaning companies send get deleted in under three seconds.

Not because the service is bad. Because the email reads like it was written for anyone — which means it feels relevant to no one.

Facilities managers in offices, schools, and healthcare buildings receive outreach constantly. They're not looking for the cheapest quote or the longest list of services. They're looking for a contractor who clearly understands their environment.

That's the gap most cleaning companies miss.

When your email references their specific building type, the cleaning challenges that come with it, and the frequency that makes sense for their operation — it signals competence before you've even had a conversation. It shows you've done the work.

A 3-email sequence built around this principle — industry, building size, cleaning frequency — consistently converts at 3 to 5 times the rate of a generic pitch. The first email opens the door. The second adds credibility. The third asks for a specific next step.

This isn't complicated. But it does require you to stop sending the same email to every prospect and start treating each vertical as its own conversation.

A healthcare facility manager worries about infection control and compliance sign-off. An office building manager wants consistency and minimal disruption. A school facilities lead needs to work around term times and safeguarding requirements. These are different people with different problems — and your outreach should reflect that.

If your pipeline is quiet right now, the fix probably isn't more volume. It's more relevance.

Take 30 minutes to map out what each of your target verticals actually cares about. Then write three short emails — under 150 words each — that speak directly to those concerns. Send them on a 5-day cadence. Track replies, not open rates.

That's a cold email sequence worth running.","Want us to build this sequence with you? Book a free cold email strategy call and we'll map out a 3-email sequence tailored to your target verticals: api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Email","Generated"
"GBP Post","Post 1","Most facilities managers don't realise how much time they waste chasing unreliable cleaning contractors.

Late arrivals. Missed areas. No account manager to call. It creates extra work for your team — and complaints you shouldn't have to deal with.

Our contract cleaning services are built specifically for commercial environments: offices, healthcare facilities, schools, and managed properties in [CITY].

What you get:
— A dedicated point of contact
— Scheduled cleans tailored to your building size and occupancy
— Consistent standards verified by regular site checks
— Full insurance and compliance documentation on request

We don't offer one-size-fits-all. Every quote is scoped to your facility, your hours, and your cleaning frequency requirements.

If you manage a building in [CITY] and you're tired of contractors who treat commercial sites like residential jobs, we should talk.

Get a scoped commercial cleaning quote for your facility today.","Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Google Business Profile","Generated"
"GBP Post","Post 2","A facilities manager at a 4-floor office complex in [CITY] came to us after their previous janitorial contractor failed a health and safety audit.

The problems: inconsistent clean logs, no COSHH documentation, and staff rotating weekly with no site familiarity.

Within two weeks of switching to our janitorial services, they had:
— A named cleaning operative assigned to their site
— Digital clean logs accessible on request
— Full COSHH folders and risk assessments in place
— Zero complaints from building tenants in the following quarter

Audit passed. Facilities manager stopped fielding complaints. Building tenants noticed the difference.

This is what professional commercial cleaning looks like when it's matched to the actual demands of a managed facility.

If your current office cleaning contractors are creating more admin than they're removing, it's worth getting a second opinion.

We offer a no-obligation site assessment and quote for commercial buildings across [CITY].","Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Google Business Profile","Generated"
"GBP Post","Post 3","Facilities managers in [CITY] shortlist cleaning contractors differently to how most companies pitch.

They're not looking for the cheapest quote. They're looking for a contractor who understands their building type, their compliance requirements, and their cleaning schedule — before the first call.

Generic outreach gets ignored. So does a contractor who shows up without knowing the difference between cleaning a GP surgery and cleaning a school corridor.

As a commercial cleaning company working across offices, healthcare, and education sites in [CITY], we scope every enquiry by:
— Building type and square footage
— Foot traffic and infection control requirements
— Cleaning frequency and out-of-hours access
— Compliance and auditing expectations

This specificity is why facilities managers who contact us tend to move forward — they're not being sold to, they're being understood.

If you're a facilities or office manager in [CITY] currently reviewing your facilities cleaning services contract, we'll give you a straight assessment of what your building actually needs.","Book a free cold email strategy call at api.leadconnectorhq.com/widget/bookings/call-with-cleanreach","Google Business Profile","Generated"
