"Type","Title/Subject","Content","CTA","Channel","Status"
"LinkedIn Post","Post 1: Facilities managers don't ignore bad cleaning comp","Facilities managers don't ignore bad cleaning companies. They ignore bad emails.

Most commercial cleaning outreach fails before it's even read.

Not because the company isn't good enough.
Because the email looks like every other email in their inbox.

""We offer professional commercial cleaning services at competitive rates.""

That line lands in 40 inboxes a week.

Here's what facilities managers actually respond to:

An email that shows you understand their building.
Their industry.
The specific cleaning problems that come with it.

A healthcare FM worries about cross-contamination protocols.
A school bursar worries about after-hours access and term-time scheduling.
An office FM worries about complaints from tenants and missed visits.

When your first email speaks to one of those concerns — by name, in plain language — it doesn't look like outreach.

It looks like you already know their world.

That's when you get replies.

Book a free cold email strategy call at cleanreach.co.uk and we'll show you how to build this for your target sectors.","Book a free cold email strategy call at cleanreach.co.uk and we'll show you how to build this for your target sectors.","LinkedIn","Generated"
"LinkedIn Post","Post 2: 7 reasons your cold emails to facilities managers ","7 reasons your cold emails to facilities managers aren't converting — and what to fix first.

Most cleaning companies send emails. Very few win contracts from them.

Here's what separates the ones that do:

1. They lead with a specific problem, not a company intro.
   FMs don't care who you are on email one. They care whether you understand their site.

2. They mention building type or sector in the subject line.
   ""Cleaning for multi-tenant office blocks in [City]"" outperforms ""Commercial Cleaning Services"" every time.

3. They reference cleaning frequency realistically.
   Generic emails say ""regular cleaning services."" Specific emails say ""5-day-a-week daytime cleans for open-plan offices.""

4. They follow up — twice.
   Most replies come on email two or three. Sending one email and stopping is leaving contracts on the table.

5. They have one clear ask.
   Not ""let us know if you're interested."" Try: ""Would a 10-minute call this week make sense?""

6. They don't attach a brochure to email one.
   Attachments trigger spam filters and kill open rates. Save it for the reply.

7. They track what's working.
   Open rates, reply rates, which sectors respond — without this data, you're guessing.

Want a 3-email sequence template built around your target sectors? Book a free strategy call at cleanreach.co.uk","Want a 3-email sequence template built around your target sectors? Book a free strategy call at cleanreach.co.uk","LinkedIn","Generated"
"LinkedIn Post","Post 3: She sent 200 emails. Got 2 replies. Then she chang","She sent 200 emails. Got 2 replies. Then she changed one thing.

Sarah runs a commercial cleaning company in the East Midlands.

Good operation. Reliable team. Competitive on price.

She spent two evenings building a list of facilities managers — offices, schools, a couple of healthcare sites.

Sent 200 emails over three weeks.

Two replies. Both dead ends.

She came to us convinced cold email didn't work for cleaning.

We read through her sequence.

Every email opened the same way:
""Hi [Name], I'm reaching out to introduce [Company Name]...""

Then a paragraph about her services.
Then a list of sectors she covered.
Then a line about competitive rates.
Then a brochure attached.

It wasn't a bad email. It was just invisible.

We rebuilt the sequence around three things:
— The specific building type she was targeting
— A cleaning problem common to that sector
— A single, low-friction next step

Email one referenced the challenges of cleaning open-plan offices during occupied hours.

Within two weeks of sending the new sequence, she had 6 replies and 3 calls booked.

Same list. Same effort. Different result.

Specificity is the difference between ignored and shortlisted.

If your cold emails aren't converting, book a free strategy call at cleanreach.co.uk — we'll diagnose the issue in 30 minutes.","If your cold emails aren't converting, book a free strategy call at cleanreach.co.uk — we'll diagnose the issue in 30 minutes.","LinkedIn","Generated"
"LinkedIn Post","Post 4: Stop trying to stand out by shouting louder. Facil","Stop trying to stand out by shouting louder. Facilities managers don't want the most impressive pitch. They want the least risky contractor.

Every cleaning company owner I speak to is trying to win FMs over with the same things:

Lower prices.
More accreditations listed.
Bigger client logos.
A glossier brochure.

None of that is wrong. But none of it is what closes contracts.

Facilities managers aren't looking for the most impressive cleaning company.

They're looking for the one least likely to cause them a problem.

A missed clean means a complaint from a tenant or headteacher.
An unreliable contractor means their phone rings on a Monday morning.
A cheap quote that collapses in month three means they're re-tendering mid-year.

Their job is to avoid problems — not to find deals.

So the cleaning companies that win FM contracts aren't always the cheapest or the shiniest.

They're the ones who communicate clearly in the pitch phase.
Who reference specific details about the site.
Who follow up reliably.
Who respond fast.

Responsiveness in your outreach signals reliability in your service.

If you want to win more FM contracts, stop competing on noise.
Start competing on trust signals.

Book a free cold email strategy call at cleanreach.co.uk and we'll help you build outreach that signals reliability, not just availability.","Book a free cold email strategy call at cleanreach.co.uk and we'll help you build outreach that signals reliability, not just availability.","LinkedIn","Generated"
"LinkedIn Post","Post 5: How to write a 3-email cold sequence that gets fac","How to write a 3-email cold sequence that gets facilities managers to reply — step by step.

Most cleaning companies send one email and wait.

Facilities managers are busy. Their inbox is full. One email isn't enough.

Here's how to build a 3-email sequence that converts at 3–5x the rate of a generic pitch:

---

EMAIL 1 — The Specific Problem Email
Send day 1.

Subject: Cleaning for [sector] sites in [City]

Open with a problem specific to their industry — not a company intro.

Example for office FM:
""Managing cleaning across occupied open-plan offices usually means one of two things — either you're running evening cleans that no one checks, or you're handling tenant complaints about standards.""

Then: one sentence on who you are and what you do.
Close with: ""Worth a quick call this week to see if we'd be a fit?""

---

EMAIL 2 — The Follow-Up With Evidence
Send day 4–5.

Don't apologise for following up.

Add one proof point — a relevant site type you service, a contract retained for 3+ years, a sector-specific accreditation.

Keep it to 4 lines maximum.

---

EMAIL 3 — The Short Close
Send day 9–10.

3 lines only:
— Acknowledge it might not be the right time
— Leave the door open
— Make it easy to reply with one word

Example: ""If you're locked into a contract for now, happy to reconnect closer to renewal. Worth me keeping in touch?""

---

That's it. Three emails. Specific, short, persistent.

Book a free cold email strategy call at cleanreach.co.uk and we'll build this sequence around your target sectors and building types.","Book a free cold email strategy call at cleanreach.co.uk and we'll build this sequence around your target sectors and building types.","LinkedIn","Generated"
"Blog Article","How to Win Facilities Manager Contracts With Cold Email (A 3-Step Sequence That Works)","# How to Win Facilities Manager Contracts With Cold Email (A 3-Step Sequence That Works)

Most commercial cleaning companies send the same pitch to every facilities manager on their list. Same subject line. Same generic paragraph about 'professional cleaning services'. Same result — silence.

Facilities managers receive dozens of supplier emails every week. They are not looking for another cleaning company. They are looking for a reason to switch — or a contractor who clearly understands their b...","Book a free cold email strategy call at cleanreach.co.uk","Blog","Generated"
"Email Newsletter","Why FMs ignore your cold emails","Most facilities managers delete cleaning pitches before they finish the first line.

Not because they don't need a contractor. Because the email reads like it was written for no one in particular.

""We provide high-quality commercial cleaning services across a range of sectors."" That sentence is in roughly 80% of cold outreach FMs receive. It tells them nothing about whether you understand their building, their schedule, or their compliance requirements.

Here's what actually works.

Facilities managers shortlist contractors based on two things: responsiveness and specificity. They want to know you've done your homework — that you understand whether they're running a 40,000 sq ft NHS-contracted healthcare facility or a multi-tenancy office block with weekend access restrictions.

A generic pitch signals that you'll be equally generic when something goes wrong on site.

A 3-email sequence built around specificity — referencing their sector, building type, likely cleaning frequency, and the compliance standards relevant to them — consistently converts at 3 to 5 times the rate of a standard pitch.

Email one: Show you understand their environment. Reference their sector and what that means for cleaning protocols. No pitch yet.

Email two: Introduce one specific outcome you've delivered for a similar site. Keep it to two sentences. Link to a short case study if you have one.

Email three: Make the ask. One clear, low-friction next step — a 15-minute call, a site visit, or a sample schedule.

That's it. Three emails. Sent over ten to fourteen days. Focused entirely on their world, not yours.

If your current outreach is getting low reply rates from offices, schools, or healthcare facilities, the problem almost certainly isn't your pricing or your service. It's that nothing in your email makes the FM feel like it was written for them.

Book a free cold email strategy call and we'll review your current outreach, identify exactly where it's losing FMs, and map out a sequence built around your target sectors.

CleanReach — helping commercial cleaning companies win predictable contracts.","Book your free cold email strategy call at cleanreach.co.uk","Email","Generated"
"GBP Post","Post 1","Facilities managers don't have time for unreliable contractors.

If you manage a multi-site office, healthcare facility, or education building in [CITY], you need a contract cleaning service that shows up on schedule, reports issues without being asked, and scales with your building's needs.

That's what separates a professional commercial cleaning company from a one-size-fits-all operation.

Our contract cleaning services are built around your building — not a generic checklist. We work with facilities managers to agree cleaning frequencies, access requirements, and quality benchmarks before we start. You get a named point of contact, written service reports, and zero chasing.

Whether you manage 2,000 sq ft or 20,000 sq ft, your cleaning specification should reflect your building's footfall, usage, and compliance needs — not a standard template.

If your current contractor isn't delivering that level of detail, it's worth getting a second quote.

We cover offices, healthcare sites, schools, and commercial properties across [CITY] and surrounding areas.","Request a commercial cleaning quote tailored to your site at cleanreach.co.uk","Google Business Profile","Generated"
"GBP Post","Post 2","A facilities manager at a [CITY] office complex was receiving three different cleaning contractors' quotes — all generic, all similar in price.

What made the difference wasn't the lowest number. It was specificity.

One contractor came back with a proposal that referenced the building's floor count, the high-traffic reception area, and a suggested five-day cleaning schedule with monthly deep-clean provisions. It also included a clear escalation process for reactive cleaning requests.

That contractor won the contract — and has held it for two years.

Facilities managers shortlist office cleaning contractors who demonstrate they've actually thought about the building. Vague promises don't win recurring contracts. Detailed, site-specific proposals do.

We work with facilities and property managers across [CITY] to build cleaning specifications that reflect how their buildings actually operate. Our clients aren't just buying janitorial services — they're buying reliability, consistency, and a team that understands commercial environments.

If you're reviewing your current commercial cleaning provision or tendering a new contract, we're ready to put together a proposal specific to your site.","Get a site-specific proposal from our commercial cleaning team — visit cleanreach.co.uk","Google Business Profile","Generated"
"GBP Post","Post 3","Most facilities managers in [CITY] tell us the same thing: their previous contractor was fine at first, then standards slipped and communication dried up.

It's one of the most common problems in commercial cleaning — and it's entirely preventable with the right contractor structure.

Here's what reliable facilities cleaning services actually look like in practice:

— A cleaning schedule built around your building's occupancy hours
— A dedicated supervisor accountable for your site's output
— Monthly quality audits with written sign-off
— A direct line for reactive or emergency cleaning requests
— COSHH-compliant products and trained, vetted staff

We've worked with offices, schools, and healthcare sites across [CITY] long enough to know that facilities managers don't want to manage their cleaning contractor. They want to trust them.

Our role is to remove cleaning from your weekly problem list — not add to it.

If you're based in [CITY] and currently tendering for commercial cleaning services, or if your existing contract is up for review, we're happy to carry out a free site assessment and provide a written proposal within 48 hours.","Book a free site assessment with our [CITY] commercial cleaning team at cleanreach.co.uk","Google Business Profile","Generated"
"Video Script","LinkedIn Video Script 1","[0–3s] Facilities managers are ignoring your cold emails — here's why.

[3–18s] Most cleaning companies send the same generic pitch to every facilities manager they contact. 'We offer flexible schedules, competitive rates, fully insured.' Sound familiar? That email goes straight to the bin. Facilities managers manage multiple buildings, multiple contractors, and zero patience for vague promises.

[18–52s] What actually gets a response is specificity. Reference their industry. Mention their building size. Acknowledge their cleaning frequency. A 3-email sequence built around those three things — industry, building, frequency — shows you've done your homework. Email one opens the door. Email two adds value. Email three asks for the meeting. That's it.

[52–68s] Cleaning companies using this sequence are seeing 3 to 5 times more replies than a generic pitch — because facilities managers shortlist on responsiveness and relevance. If your email looks like it was written for them, not a mailing list, you stand out immediately.

[68–82s] If you want help building that sequence for your business, book a free cold email strategy call at cleanreach.co.uk. Link's in the comments.","If you want help building that sequence for your business, book a free cold email strategy call at cleanreach.co.uk. Link's in the comments.","Video","Generated"
